boat names,imo,time first in port,number of times visited port,number of times out of port,average time spend in port per visit (mins),percentage of time in port
SEVEN PEGASUS,9392509,07/10/2021 20:38,2,2,111,7
KAMARINA,9499644,07/10/2021 20:38,2,2,343,24
TEAL,0,07/10/2021 20:38,6,6,154,32
FORTH TIGER,0,07/10/2021 20:38,228,227,11,91
ROWAN GORILLA VII,8765096,07/10/2021 20:38,1,1,370,13
COLLIE T,6409064,07/10/2021 20:38,2,1,1424,99
TAYBIRD,0,07/10/2021 20:38,1,0,2850,100
PV TAYBIRD,0,07/10/2021 20:38,1,0,2850,100
CHERRY SAND,6811059,07/10/2021 22:11,21,23,19,14
CRAIGLEITH,9803819,08/10/2021 16:07,15,17,23,12
INCHCOLM,9892092,08/10/2021 17:35,12,14,26,11
TERRA NOVA,0,09/10/2021 11:07,67,69,2,5
IEVOLI BLUE,9421714,09/10/2021 17:06,1,3,95,3
PETEREL,9803974,10/10/2021 03:55,14,16,30,14
PIER PRESSURE,0,10/10/2021 07:05,10,11,26,9
LAMMY,9467184,11/10/2021 07:08,1,3,33,1
SKANDI ACERGY,9387217,13/10/2021 08:22,5,6,24,4
DSV SOPHIE,0,13/10/2021 08:46,11,13,2,1
THUN GRACE,9190195,13/10/2021 10:38,1,3,8,0
BITONIA,9503902,13/10/2021 23:10,2,4,16,1
CORRINGHAM,9316414,14/10/2021 19:32,4,6,15,2
RIB ROY,0,15/10/2021 06:36,29,31,0,0
NOBLE HANS DEUL,9424015,15/10/2021 11:45,1,3,1177,41
KITTIWAKE,9788289,15/10/2021 11:45,2,4,2,0
VALARIS 249,0,15/10/2021 15:48,1,3,167,5
BADGER,0,17/10/2021 15:02,3,5,0,0
FORTH TROJAN,9126948,17/10/2021 16:31,6,8,9,1
EQUINOX,0,17/10/2021 18:16,1,3,1092,38
FORTH KING,0,18/10/2021 12:03,3,5,7,0
DMS CONDOR,9251987,18/10/2021 15:17,3,5,36,3
CEMCLIPPER,9884667,18/10/2021 23:10,1,3,23,0
ERACLEA,9499656,19/10/2021 17:38,1,3,379,13
FEED HELGELAND,9163635,20/10/2021 02:33,1,3,57,2
MAERSK HANDLER,9246724,22/10/2021 14:13,4,6,6,0
ALIZEE,9574303,25/10/2021 07:40,2,4,30,2
BEAUMAGIC,9373266,26/10/2021 19:34,1,3,40,1
RNLI LIFEBOAT 14 31,0,27/10/2021 19:47,3,5,1,0
WILSON DORDRECHT,9145140,31/10/2021 21:45,1,3,22,0
NORDBORG,9148180,03/11/2021 21:48,1,3,22,0
SEA HARMONY,8914166,08/11/2021 12:38,1,3,31,1
KAURI,9173226,13/11/2021 09:17,1,3,120,4
SAPPHIRE,0,14/11/2021 11:38,3,5,0,0
NORTHSEA RATIONAL,9334296,16/11/2021 01:28,1,3,20,0
ZEUS,9199684,16/11/2021 03:11,1,3,15,0
STANDARD PRINCESS,9390549,18/11/2021 23:16,1,3,503,17
CEMGULF,9226762,23/11/2021 14:26,1,3,39,1
BIT FORCE,9256420,24/11/2021 16:43,2,4,20,1
REBECCA HAMMANN,9119634,25/11/2021 09:10,2,4,51,3
MAERSK CONNECTOR,9743813,25/11/2021 14:54,2,4,57,4
FUGRO SCOUT,9600372,25/11/2021 18:55,5,7,63,11
GUARD VESSEL SEAGULL,9112545,26/11/2021 17:11,1,3,187,6
FRAKT SUND,9374727,28/11/2021 10:57,1,3,32,1
CROWN MARY,9466219,29/11/2021 08:23,1,3,7,0
CEMSOL,9180401,29/11/2021 21:18,1,3,26,0
MARIA ELISE,9534250,29/11/2021 23:25,1,3,69,2
UKD ORCA,9491355,30/11/2021 00:24,55,57,2,3
DALMENY,9067271,02/12/2021 20:36,3,5,13,1
NJORD VIKING,9423827,03/12/2021 10:34,1,3,1,0
BITLAND,9503914,03/12/2021 14:52,1,3,23,0
ANNE DORTE,9466233,07/12/2021 01:03,1,3,37,1
ANTARES,9449223,07/12/2021 08:44,2,4,18,1
SELENKA,9447067,12/12/2021 22:08,1,3,22,0
YEOMAN BANK,7422881,15/12/2021 12:30,1,3,11,0
QUEENSFERRY,9885491,18/12/2021 13:54,2,4,9,0
PROSPECTOR 5,8771813,19/12/2021 14:04,1,2,1103,38
EVIAPETROL V,9358503,19/12/2021 15:52,1,3,36,1
WILSON CALAIS,9156101,19/12/2021 23:14,1,3,26,0
RNLI LIFEBOAT D 834,0,20/12/2021 20:06,2,4,1,0
KADRI,9114725,21/12/2021 12:46,1,3,29,1
ASTRID ERIKA,9291731,23/12/2021 19:07,1,3,94,3
BIT POWER,9256432,03/01/2022 00:47,1,3,26,0
HA LONG BAY,9343625,09/01/2022 08:05,1,3,394,13
LISA,9235505,13/01/2022 20:25,1,3,25,0
FUGRO SYNERGY,9452488,14/01/2022 23:45,2,4,19,1
SAR 111232527,0,17/01/2022 04:12,1,3,0,0
WILSON GAETA,9171096,19/01/2022 12:40,1,3,23,0
WILSON ELBE,9060675,23/01/2022 11:08,1,3,29,1
SEA MELODY,9195638,24/01/2022 11:43,1,3,10,0
FRAKT FJORD,9356581,25/01/2022 06:46,1,3,15,0
CEMI,8822612,25/01/2022 21:12,1,3,63,2
SAMIRA,9240744,29/01/2022 20:03,1,3,76,2
WILSON TEES,9150535,30/01/2022 11:08,1,3,32,1
SHETLAND TRADER,9030486,03/02/2022 06:26,1,2,7,0
